iter	Passed	Remaining
937	1947	128
938	1952	126
939	1953	124
940	1954	122
941	1956	120
942	1957	118
943	1958	116
944	1959	114
945	1960	111
946	1962	109
947	1963	107
948	1966	105
949	1968	103
950	1969	101
951	1971	99
952	1973	97
953	1974	95
954	1975	93
955	1977	90
956	1978	88
957	1981	86
958	1982	84
959	1983	82
960	1985	80
961	1986	78
962	1987	76
963	1988	74
964	1990	72
965	1991	70
966	1992	68
967	1996	65
968	1997	63
969	1999	61
970	2001	59
971	2002	57
972	2004	55
973	2005	53
974	2006	51
975	2008	49
976	2011	47
977	2012	45
978	2013	43
979	2014	41
980	2016	39
981	2017	36
982	2018	34
983	2019	32
984	2021	30
985	2022	28
986	2023	26
987	2026	24
988	2027	22
989	2028	20
990	2030	18
991	2031	16
992	2032	14
993	2034	12
994	2035	10
995	2038	8
996	2042	6
997	2043	4
998	2044	2
999	2046	0
